InvoiceNo|InvoiceKey|VendorNo|Date|InvoiceType|VendorName|VendorAddr1|VendorState|StatusCode|ReturnSize
q57vwmFkA0|tRaIq1|209|17-04-2013|OFFICE|Pierce|Jones Road|Idaho|400|79994
CSprQJRV3C|PfVCGn|71|28-01-2013|OFFICE|Roosevelt|Erringer Road|Arkansas|401|125580
2obmEOldLB|zct61b|210|19-09-2013|WORKSHOP|Lincoln|North Erringer Road|Rhode Island|404|25063
yGGZzk0kIJ|vApC4v|72|20-10-2013|WORKSHOP|Kennedy|Katella Avenue|Hawaii|409|85376
tgYZksOYiZ|kmi0bl|220|28-03-2013|WORKSHOP|Taft|Monroe Street|Minnesota|403|106356
IQ5ypFIFgj|0hVos4|171|02-07-2013|OFFICE|Van Buren|Santa Ana Freeway|North Carolina|401|120869
qM03a4iE3h|YC5ife|175|19-06-2013|WORKSHOP|Buchanan|Redwood Highway|Kentucky|200|156575
VW46ZFpaWE|qM5Kxp|232|12-10-2013|WORKSHOP|Hoover|San Simeon|Florida|404|28528
uvzxqySevV|wB5NgZ|46|05-05-2013|OFFICE|Monroe|East Main Street|Texas|403|100039
x04Cgh2N1f|cTYXxY|31|12-08-2013|WORKSHOP|Eisenhower|Tanger Blvd|Nebraska|403|174768
ZEm3lWAyEa|Zfsg1D|155|22-05-2013|OFFICE|Hayes|Jones Road|Georgia|401|186026
OC4TZZq7w6|fOa6lE|8|14-06-2013|WORKSHOP|Truman|East Calle Primera|Utah|200|101679
57101yzVyk|PC0Vmc|105|28-02-2013|WORKSHOP|Johnson|Carpinteria North|Tennessee|200|62267
mmTHjjVrbk|iBLwhB|224|31-07-2013|OFFICE|Carter|Redwood Highway|Virginia|400|104900
uCQLUthXZK|Zi3pQe|136|25-03-2013|OFFICE|Coolidge|E Fowler Avenue|New York|200|115282
FW1j36ZEGu|ENClG9|253|23-09-2013|OFFICE|Taft|North Atherton Street|Massachusetts|409|100481
J9RiKhu2S8|doQLLu|128|17-04-2013|OFFICE|Taylor|East Fry Blvd.|Maine|409|124835
gOsIcPtVcb|XiFlFZ|239|01-02-2013|OFFICE|Kennedy|Jean de la Fontaine|South Carolina|401|23980
jOSaSKPPxN|rAimer|108|12-08-2013|WORKSHOP|Adams|Corona Del Mar|New York|403|165547
cXEEEBx7M8|zdhz6y|241|08-04-2013|WORKSHOP|Washington|Camelback Rd|Oregon|409|103226
ouBfvL4cty|aqQObi|105|31-07-2013|WORKSHOP|Hoover|Lindbergh Blvd|Virginia|401|46842
CkA3PSqr9a|9Awou0|195|19-08-2013|OFFICE|Eisenhower|Tully Road East|Wisconsin|403|11921
RgjYvoryny|cOwm8H|31|12-03-2013|OFFICE|Reagan|S Rustle St|Hawaii|301|6332
EwNDZIcs5k|csxBe2|233|21-01-2013|OFFICE|Buchanan|Padre Boulevard|Oklahoma|400|144950
zbCfFNzTMr|bWHXbI|177|08-01-2013|WORKSHOP|Hoover|Steele Lane|Minnesota|404|66744
nUJHMSGjtM|4Y2BPD|27|11-01-2013|OFFICE|Johnson|Cabrillo Highway|Colorado|409|61223
u2K3QlmO76|XP1jy5|146|14-02-2013|WORKSHOP|Harrison|Milpas Street|Pennsylvania|404|28281
HoKTLZgAj2|oP27Nz|127|07-04-2013|WORKSHOP|Johnson|French Camp Turnpike Road|Connecticut|401|109771
sAGSE4es96|u1SoZV|156|23-07-2013|WORKSHOP|Kennedy|Castillo Drive|Kentucky|403|100150
rXtY1nBj1f|PvS3px|134|29-09-2013|OFFICE|Cleveland|Grandview Drive|Arkansas|404|198032
rHiU8CKuiJ|iGSZYd|63|07-09-2013|OFFICE|Carter|Fairview Avenue|Tennessee|409|75589
3huTe2uXwu|usHUdU|2|19-04-2013|WORKSHOP|Monroe|Corona Del Mar|South Carolina|301|168732
sBm2AL8RSN|7008Bj|144|30-06-2013|WORKSHOP|Buchanan|Katella Avenue|Michigan|200|122657
hJJkPYkEVj|ykETDM|165|15-02-2013|WORKSHOP|Carter|San Diego Freeway|Ohio|404|131330
4cTGZhwhNk|N6hfeQ|169|02-01-2013|OFFICE|Fillmore|Jones Road|Kansas|401|101975
YnzRAX45XF|or7S6f|17|30-10-2013|OFFICE|Johnson|S Rustle St|Virginia|200|140825
j27nf01CHj|BRLXHZ|4|21-10-2013|OFFICE|Garfield|Jones Road|Maine|200|27887
1bk4Po54Kq|cWss4B|50|06-04-2013|OFFICE|Adams|Westside Freeway|Rhode Island|200|32286
zYIFuvtkxI|sHj9vH|65|12-10-2013|WORKSHOP|Reagan|French Camp Turnpike Road|Rhode Island|401|65593
RB08216DEh|oXIkrL|253|08-03-2013|OFFICE|Van Buren|Harry S Truman Blvd|Washington|301|4083
rPLj51m4KV|oNyJgq|53|28-07-2013|OFFICE|Carter|Fairview Avenue|Maine|400|100371
Pjgvl3KKOR|4kEska|88|10-03-2013|WORKSHOP|Grant|Timberlane Drive|California|200|96568
dX6MUQ5QFG|yxCzRL|28|23-07-2013|OFFICE|Monroe|W. Russell St.|Louisiana|403|27527
vjD3AgeJBy|xeKYKT|120|10-10-2013|OFFICE|Grant|North Erringer Road|Montana|404|34408
yjmUpaLnNy|bJvgcA|81|07-04-2013|OFFICE|Monroe|Katella Avenue|Arizona|301|93491
AneZzZt7Ss|P8VN04|239|12-04-2013|OFFICE|Harrison|Tanger Blvd|Alaska|301|191718
ucRpD1yllk|Tjnvli|64|11-02-2013|OFFICE|Polk|San Luis Obispo North|Rhode Island|401|68783
Q0MIiaeUvo|Hbnwlw|89|07-03-2013|WORKSHOP|Taylor|San Simeon|North Dakota|403|99546
wm9I5GtgPe|uzRxVC|222|21-04-2013|WORKSHOP|Roosevelt|San Simeon|South Dakota|301|151711
YhlTK4Hr52|rR3IMK|149|01-03-2013|OFFICE|Taylor|South Highway|Arizona|403|141812
Y56EfTu8Uv|SXjHuH|122|16-01-2013|WORKSHOP|Carter|Katella Avenue|South Dakota|200|90629
wd4wnBtTnq|2yhDsB|147|13-05-2013|OFFICE|Pierce|Redwood Highway|Louisiana|400|85181
ZVdSzvnCks|NARKlI|145|13-09-2013|OFFICE|Taylor|Carpinteria North|New Hampshire|404|67615
lAwG0kwQSy|x4JdBb|196|14-08-2013|OFFICE|Jefferson|Calle Real|New Jersey|409|51866
r6l9sLJvrC|6LCh8h|252|04-09-2013|WORKSHOP|Quincy|Bailard Avenue|New Hampshire|401|13007
QLVFQwx4dE|dWywTi|141|15-02-2013|WORKSHOP|Ford|Redwood Highway|Louisiana|401|80754
VBh5yl0T42|oA7ar4|211|28-06-2013|WORKSHOP|Coolidge|South Highway|Alaska|200|12983
MMECbJafeT|CKQq9B|92|13-03-2013|WORKSHOP|Fillmore|Hutchinson Rd|Texas|401|124454
ZIlwai6N1l|8IyRLV|62|08-09-2013|OFFICE|Hayes|Harbor Dr|New Jersey|200|135913
BfOcrXUt7u|FwftUX|126|13-07-2013|WORKSHOP|Quincy|N Kentwood|North Carolina|200|2422
ZBV0dHLMO1|rqirBd|169|24-08-2013|OFFICE|Adams|Bowles Avenue|Pennsylvania|400|134268
3QMCl5daXg|aqdy2p|64|03-01-2013|WORKSHOP|Adams|N Harrison St|Virginia|200|70842
3tjPS0lrCp|Dv69UD|217|17-10-2013|OFFICE|Polk|Westside Freeway|New Jersey|400|78902
KkczrbbH7F|CgkV7R|143|27-05-2013|WORKSHOP|Clinton|Monroe Street|Pennsylvania|400|180191
E4ssYBHyfY|gNUYbH|200|19-06-2013|OFFICE|Garfield|Lawrenceville Suwanee|Kansas|401|52100
xiOuZz3HWW|vlLjem|252|16-05-2013|OFFICE|Clinton|Tanger Blvd|Virginia|401|68610
ZFKsswVvly|00quKQ|100|22-01-2013|OFFICE|Hoover|Via Real|South Dakota|409|162801
2xrENzMuoH|B5suvE|202|27-06-2013|OFFICE|Wilson|Cerrillos Road|New Jersey|200|87120
SLikiuGO0H|3tFztD|253|07-09-2013|OFFICE|Buchanan|Monroe Street|Rhode Island|409|154306
A84B9WmtKS|c2luDb|152|29-08-2013|WORKSHOP|Coolidge|N Harrison St|New York|301|68739
qDYQ79px2K|S2j6XB|121|24-09-2013|OFFICE|Jackson|Pacific Hwy S|Wisconsin|401|149474
VjYztEROWH|9yOeeo|44|18-05-2013|OFFICE|Monroe|French Camp Turnpike Road|Iowa|403|37011
Cj0YYCtUO2|cdnLLD|62|20-05-2013|OFFICE|Harding|S Rustle St|Indiana|400|23191
seR9OM2QLY|j49mac|1|18-07-2013|WORKSHOP|Tyler|Timberlane Drive|Missouri|404|103966
9atIRcnN5A|cZHsL5|111|08-06-2013|WORKSHOP|Reagan|Bowles Avenue|Maine|401|103544
6n7ljjwzW0|ddR3oY|83|20-08-2013|WORKSHOP|Arthur|Tanger Blvd|North Dakota|401|129026
SOIV2IZr00|kbMuFX|240|22-07-2013|WORKSHOP|Tyler|Fontaine Road|Tennessee|301|185713
saIQhIkEUe|qg4YQB|186|01-05-2013|OFFICE|Hoover|Bayshore Freeway|Maine|301|101067
C1WPVK6ZvH|9vaJVK|127|12-06-2013|WORKSHOP|Pierce|S Rustle St|New York|409|191541
j2vq2PkVUx|hNxiU9|172|05-05-2013|OFFICE|Taft|E Fowler Avenue|Illinois|400|165860
jZqCcts9GN|LSdZea|105|10-02-2013|OFFICE|Carter|Monroe Street|Connecticut|404|27808
q0cAFcwsTD|XM2x38|194|25-08-2013|WORKSHOP|Harrison|Bayshore Freeway|Wyoming|409|149210
HtPoYqjg2J|g2SdVZ|71|22-03-2013|WORKSHOP|Kennedy|W. Russell St.|Nebraska|200|83198
fRPghpGkBa|Gbpgzw|24|09-07-2013|WORKSHOP|Fillmore|N Harrison St|Minnesota|301|122894
ooyximtjDo|JQ05TT|142|21-02-2013|OFFICE|Truman|Richmond Hill|Utah|404|161070
Xqk77a9L3w|y3duiL|202|22-05-2013|WORKSHOP|Clinton|Cabrillo Highway|South Dakota|404|26965
WbEDkhBKzA|3otIcF|242|08-09-2013|OFFICE|Jackson|Steele Lane|Delaware|400|69309
JkdQbYTXCW|Q6vme9|80|22-09-2013|OFFICE|Polk|Timberlane Drive|Rhode Island|400|195858
aCNcNA6Z5k|h3gPZF|25|11-02-2013|WORKSHOP|Clinton|French Camp Turnpike Road|Iowa|403|183417
7kYFQaGNp5|GpBC4R|54|07-04-2013|WORKSHOP|Van Buren|Cerrillos Road|Connecticut|400|39906
ekX5QDYA8B|qNnfYJ|122|03-02-2013|WORKSHOP|Garfield|North Preisker Lane|Tennessee|404|61758
HEaLbhbA1P|aMbn7T|177|23-06-2013|OFFICE|Harrison|Calle Real|Washington|400|104418
ELI6hycIvz|grweic|9|30-07-2013|OFFICE|Taft|Calle Real|Tennessee|409|21975
jkshxbpGPH|DR63dK|146|28-06-2013|OFFICE|Jefferson|San Simeon|Arkansas|409|71760
1zqdF14SCt|rZspgl|188|31-05-2013|WORKSHOP|Carter|El Camino Real|Kansas|403|89845
w2eSRIznzZ|u2N32t|20|14-09-2013|WORKSHOP|Reagan|Greenwood Road|Maryland|400|178523
GSzcQhnC8x|AbaUpS|26|15-08-2013|WORKSHOP|Eisenhower|El Camino Real|Connecticut|200|98958
fLcKwCXWfG|D0OyUm|96|08-05-2013|WORKSHOP|Nixon|Harry S Truman Blvd|Tennessee|200|831
L0zhhtBSK1|XEfEOq|97|31-03-2013|OFFICE|Nixon|North Broadway Street|Tennessee|409|158180
D4NyQrTf6v|7mZQYn|210|06-10-2013|OFFICE|Hayes|Cabrillo Highway|Oregon|301|5700
yawvHURlcI|Jhv03t|106|07-02-2013|OFFICE|Adams|Apalachee Parkway|Arizona|409|10456
gN6BSkl0yk|HZCMjp|104|19-03-2013|OFFICE|Grant|Burnett Road|Utah|404|84308
TZFudIINUR|JSc6h7|207|03-01-2013|OFFICE|Clinton|Greenwood Road|Texas|401|180840
USW7j4WMoy|qIu9TY|76|31-08-2013|OFFICE|Reagan|East 1st Street|Oregon|401|65567
ulcGdsTyJD|SMpu4n|157|13-04-2013|WORKSHOP|Adams|E Fowler Avenue|Hawaii|200|57105
xhVy0I2MPy|zmbHdg|4|25-01-2013|WORKSHOP|Jefferson|Bayshore Freeway|New Mexico|403|163034
DNJUF0NEva|H6O1Pp|162|20-10-2013|WORKSHOP|Buchanan|Erringer Road|Alabama|401|156604
f8tvCdeerk|w8MWNZ|89|13-04-2013|WORKSHOP|Harrison|Cabrillo Highway|New Jersey|400|30144
3jHw8QqnXm|cwvfud|19|02-01-2013|OFFICE|Johnson|San Marcos|Kentucky|401|17607
3Pe3n3L1tv|4pfdGf|252|07-07-2013|OFFICE|Van Buren|North Ventu Park Road|Indiana|400|188590
6hGUjAc7hU|jZSHZ2|104|25-10-2013|WORKSHOP|Madison|Calle Real|Hawaii|403|227
ox0FTOifPd|588fF5|148|05-10-2013|WORKSHOP|Harding|N Harrison St|Pennsylvania|400|56074
52Pi2ybVHt|MHyrAC|38|30-07-2013|OFFICE|Harrison|French Camp Turnpike Road|Connecticut|404|3979
tCXAW3J40q|ht4Kvw|251|24-09-2013|WORKSHOP|Adams|Corona Del Mar|Kentucky|401|25429
EOy8i5XXr6|dr5x6A|149|18-10-2013|WORKSHOP|Fillmore|East Main Street|Maine|400|94386
StiiAbC2a8|eyWyLZ|115|16-03-2013|OFFICE|Arthur|North Ventu Park Road|Maryland|200|47077
E0KZtvqmHg|mCnfhj|107|26-04-2013|WORKSHOP|Harrison|Greenwood Road|Hawaii|403|89022
jfNAGAJMwB|JCVDNl|162|18-07-2013|WORKSHOP|Quincy|Harry S Truman Blvd|Kansas|404|130103
339CDU1WI2|3Y8Pi9|244|30-07-2013|OFFICE|Polk|Lindbergh Blvd|New Jersey|401|77626
oIh2nLR8w9|oW61YG|133|17-01-2013|OFFICE|Van Buren|Milpas Street|Wisconsin|301|113352
7BkcBtJq2y|4XFBUW|109|06-08-2013|WORKSHOP|Kennedy|San Marcos|Louisiana|404|45608
ERmnm8zlYk|ZfHYO8|200|30-09-2013|WORKSHOP|Adams|Santa Rosa South|Wisconsin|200|160492
Lumjq1HBOj|C5I4Ym|9|08-04-2013|OFFICE|Washington|San Luis Obispo North|Missouri|401|32335
Grot9vm1AA|w5ZdLy|85|30-07-2013|WORKSHOP|Pierce|French Camp Turnpike Road|South Dakota|409|105680
KYQGNfxNlY|PJqFXN|99|25-08-2013|WORKSHOP|Jackson|Bailard Avenue|Utah|200|187410
tlhAhLF5uC|K0chxy|128|06-02-2013|WORKSHOP|Carter|Moreno Drive|Oklahoma|403|16504
rEeKAT6WLD|n0yb24|26|14-01-2013|WORKSHOP|Taft|Moreno Drive|Michigan|404|88381
KLsfX69GGI|3xKMvc|199|01-10-2013|OFFICE|Nixon|Via Real|Indiana|403|151201
amPFoCMt4S|xIQ2ge|208|20-01-2013|OFFICE|Jackson|N Kentwood|Virginia|404|151565
vXn597HWqR|H47u0n|204|13-02-2013|WORKSHOP|Roosevelt|Burnett Road|Texas|404|65230
ubIHIqc98P|NrRIMb|235|22-02-2013|WORKSHOP|Quincy|Westside Freeway|New Hampshire|403|106912
jzNyJxTYKe|O8fmMr|250|12-03-2013|WORKSHOP|Carter|Castillo Drive|Pennsylvania|200|168603
5xFrck9gQQ|Cm1MOy|40|11-09-2013|OFFICE|Adams|Burnett Road|Idaho|200|112208
D3LmcwP5GZ|ZdzDbm|57|30-09-2013|OFFICE|Pierce|Erringer Road|Colorado|409|152961
teoDv5qJpt|pheAIn|91|06-07-2013|OFFICE|Jefferson|Hutchinson Rd|North Dakota|404|159038
FvnujQM6ld|CK20tG|237|05-10-2013|OFFICE|Washington|Fontaine Road|Mississippi|400|189705
rgqklPhBtJ|dOPCqI|185|17-02-2013|WORKSHOP|Adams|Pacific Hwy S|Wisconsin|404|165579
8yVanUMhVs|xiYOWL|187|11-02-2013|OFFICE|Buchanan|Tanger Blvd|Maryland|401|55904
7NfkcdUkBv|ooPErT|82|05-04-2013|OFFICE|Washington|Tully Road East|Washington|301|164552
te2qCevkcr|3iCTfC|132|06-03-2013|WORKSHOP|Arthur|Cerrillos Road|Arizona|409|165048
gEhQwcNdQE|O6kQ57|165|04-02-2013|OFFICE|Polk|Jones Road|Iowa|400|76099
y0pMdZBuEF|efoJyN|133|22-02-2013|WORKSHOP|Johnson|Monroe Street|Kentucky|401|72196
rzrM3RIlMT|uTbhov|224|20-03-2013|OFFICE|Kennedy|Bayshore Freeway|Connecticut|409|105254
Gi3ngS9pHQ|QvpFa7|167|05-05-2013|OFFICE|Truman|East 1st Street|Montana|301|180633
jiucaEmY0Q|whQmnQ|141|17-02-2013|WORKSHOP|Clinton|Lawrenceville Suwanee|North Dakota|403|23141
70RsSAGPLI|syCDzh|186|26-01-2013|WORKSHOP|Harding|North Broadway Street|Louisiana|400|107868
Z7GZft0aB2|PhFeaC|93|11-02-2013|WORKSHOP|Taylor|Woodson Rd.|Rhode Island|301|77876
P8R7u9xwz0|v0awAp|154|01-02-2013|WORKSHOP|Van Buren|North Preisker Lane|Arkansas|403|63383
XmUwcR9oAW|QNH1mj|63|15-06-2013|WORKSHOP|Carter|Moreno Drive|New Mexico|409|38801
G9qCJojvhO|X4zR17|51|16-10-2013|OFFICE|Kennedy|Monroe Street|Idaho|409|58572
KFsGxPPRUb|5rWjun|226|27-07-2013|WORKSHOP|Coolidge|Camelback Rd|Idaho|200|101459
031a91dpqM|IIYdFH|190|07-05-2013|WORKSHOP|Grant|Hutchinson Rd|Colorado|404|2323
aXE8FFp5dA|DPFvAR|151|30-03-2013|WORKSHOP|Hoover|E Fowler Avenue|Kansas|403|76112
jAvan1EJH8|ykSBIB|173|04-02-2013|WORKSHOP|Monroe|Cerrillos Road|Georgia|409|139666
sR5U6EZtpX|ufHRVs|137|08-04-2013|OFFICE|Johnson|Redwood Highway|Delaware|200|43950
GLYO0UhqVP|fC9Czh|102|17-03-2013|OFFICE|Reagan|Camelback Rd|Illinois|301|63260
zBn6JIzYZ5|umxa9Y|80|28-01-2013|OFFICE|Taft|North Preisker Lane|Wisconsin|400|97687
K5LhpfP0kc|P3S2Gt|40|14-05-2013|WORKSHOP|Truman|Carpinteria North|Illinois|403|67218
HEc0StQkKV|sKCa9T|52|11-07-2013|WORKSHOP|Garfield|East Main Street|North Dakota|200|82802
bwQNOlTQ3x|tyHD8G|106|17-08-2013|WORKSHOP|Harrison|Lawrenceville Suwanee|New Jersey|403|123986
jSyFJmKPAo|6LunIN|124|15-02-2013|OFFICE|Polk|Santa Rosa North|Connecticut|400|24645
yjqGQ8ox8m|fVfMn7|63|19-02-2013|OFFICE|Grant|French Camp Turnpike Road|New Mexico|301|41704
psN6x4Yvaz|mXFuPH|210|31-08-2013|OFFICE|Hayes|Padre Boulevard|Kentucky|404|164697
b49Yq5j5dR|kDCjVI|158|06-07-2013|OFFICE|Madison|Bowles Avenue|Utah|404|7418
IGwELOOJ2X|rWf2ls|232|21-10-2013|WORKSHOP|Jackson|North Preisker Lane|Florida|301|35592
66ioSWFLdi|yYEf1y|198|19-08-2013|OFFICE|Ford|San Diego Freeway|California|200|137394
uUF2okyS2r|mbbzN4|106|11-01-2013|WORKSHOP|Wilson|South Roosevelt Drive|Georgia|403|178918
rnV2ZXWORV|efTWoA|110|08-09-2013|WORKSHOP|Wilson|Steele Lane|Delaware|401|39953
tYAEFcuARI|cQHuSm|162|10-04-2013|WORKSHOP|Harrison|Bayshore Freeway|New Mexico|301|155679
GZABtYvaId|GXQky5|10|03-10-2013|OFFICE|Cleveland|Cleveland Ave.|Minnesota|404|149375
yN6lTfJkZY|Y253lF|70|14-06-2013|OFFICE|Hoover|S Rustle St|Wisconsin|200|9365
Mzi3Kb8o6N|4j8bzp|31|08-01-2013|OFFICE|McKinley|Padre Boulevard|Idaho|301|112761
Kf4RKkFFBS|P1GYGe|79|16-02-2013|OFFICE|Johnson|Lindbergh Blvd|Iowa|200|125415
IcvRYAblw6|5xUZ9B|74|09-06-2013|OFFICE|Harrison|Santa Rosa North|Rhode Island|409|544
EMIIkHrKU7|BUNxl8|44|12-08-2013|WORKSHOP|Adams|Santa Rosa North|Indiana|400|79944
