VendorNo|VendorName|VendorContact|VendorAddr1|VendorState|VendorZipCode|VendorProductLine
28|McKinley|Ulysses|Westside Freeway|Kansas|42697|Electronics
186|Eisenhower|Chester|Corona Del Mar|Alaska|26788|Security
161|Harrison|Harry|San Simeon|Tennessee|88428|Freight
215|Jackson|Benjamin|South Highway|South Carolina|74363|Security
197|Buchanan|Gerald|Milpas Street|Maine|79115|Security
66|Tyler|Lyndon|North Atherton Street|Nebraska|56022|Electronics
217|Tyler|Calvin|N Harrison St|Vermont|79909|Computers
83|Van Buren|Theodore|Fontaine Road|Minnesota|33163|Computers
88|Jackson|Thomas|Castillo Drive|Louisiana|45339|Computers
136|Van Buren|Richard|Harbor Dr|Rhode Island|97374|Electronics
138|Quincy|Gerald|Carpinteria North|Rhode Island|37365|Travel
37|Harrison|Calvin|Tanger Blvd|South Carolina|71785|Computers
188|McKinley|Warren|Pacific Hwy S|Nevada|55834|Furniture
200|Coolidge|Herbert|South Highway|New Hampshire|59539|Computers
29|Reagan|Dwight|Padre Boulevard|Connecticut|78941|Security
25|McKinley|Benjamin|East 1st Street|Idaho|79692|Furniture
61|Van Buren|Ulysses|Moreno Drive|Michigan|24262|Freight
110|Monroe|Jimmy|S Rustle St|Indiana|75220|Furniture
122|Grant|George|Santa Monica Road|Iowa|36094|Computers
134|Tyler|George|San Diego Freeway|Ohio|98882|Security
136|Harrison|Woodrow|North Erringer Road|South Dakota|49048|Travel
87|Hoover|Bill|North Ventu Park Road|South Dakota|80511|Travel
250|Washington|Abraham|East Main Street|Colorado|37621|Electronics
119|Johnson|Warren|North Broadway Street|Massachusetts|31646|Security
172|Jefferson|Jimmy|Carpinteria Avenue|Arizona|25777|Freight
174|Buchanan|Ulysses|East Main Street|Ohio|28016|Security
205|Buchanan|James|Calle Real|New York|43875|Freight
233|Monroe|Dwight|Carpinteria North|South Carolina|38445|Travel
146|Tyler|Millard|Carpinteria South|Idaho|38007|Security
19|Adams|Gerald|San Marcos|New Mexico|73504|Freight
131|Nixon|William|E Fowler Avenue|Vermont|48060|Security
20|Nixon|George|Santa Ana Freeway|New York|42042|Travel
226|Truman|Benjamin|North Ventu Park Road|Wyoming|64237|Computers
239|Buchanan|Rutherford|North Erringer Road|New York|95342|Security
203|Adams|William|North Broadway Street|Louisiana|36486|Electronics
157|Harrison|Harry|Grandview Drive|Iowa|40238|Security
95|Hayes|Warren|Carpinteria Avenue|Maryland|47068|Computers
58|Quincy|Rutherford|Milpas Street|Pennsylvania|25398|Furniture
143|Arthur|Harry|East Main Street|Virginia|63568|Electronics
49|Reagan|George|Santa Rosa South|New Hampshire|71146|Computers
35|Jackson|Ulysses|Carpinteria North|Michigan|67827|Security
235|Ford|Franklin|Castillo Drive|Massachusetts|78431|Electronics
235|Madison|Ulysses|North Ventu Park Road|Oregon|38982|Security
222|Harrison|John|Bayshore Freeway|North Carolina|94424|Freight
72|Johnson|Harry|Harbor Dr|Oklahoma|78274|Computers
2|Hayes|Rutherford|S Rustle St|Washington|64223|Security
198|Harding|Martin|San Simeon|Nevada|88342|Security
31|Roosevelt|Franklin|Greenwood Road|Texas|71334|Freight
231|Eisenhower|Ulysses|East Calle Primera|Vermont|60427|Travel
206|Clinton|Rutherford|East 1st Street|North Carolina|97240|Freight
250|Adams|William|S Rustle St|Arkansas|34802|Travel
136|Adams|Gerald|Jones Road|West Virginia|79246|Freight
122|Clinton|Millard|San Marcos|Arkansas|27226|Security
219|Pierce|Dwight|Richmond Hill|Hawaii|60303|Travel
75|Cleveland|Ulysses|Bayshore Freeway|Washington|68494|Freight
122|Carter|Franklin|San Simeon|Montana|82333|Electronics
8|Harrison|Ronald|El Camino Real|Texas|73988|Furniture
196|Reagan|Woodrow|Fontaine Road|Maine|98172|Travel
169|Monroe|Benjamin|South Highway|Massachusetts|23446|Freight
72|Jackson|Jimmy|Westside Freeway|Virginia|88544|Computers
176|Kennedy|Zachary|San Luis Obispo North|Montana|87791|Computers
172|Arthur|Millard|Redwood Highway|Oklahoma|80838|Electronics
127|Polk|Zachary|Moreno Drive|Utah|67761|Electronics
187|Kennedy|Jimmy|East 1st Street|Vermont|42376|Furniture
111|Hayes|Dwight|East Calle Primera|Idaho|63639|Freight
65|Johnson|Grover|Burnett Road|Utah|40234|Security
243|Garfield|Bill|North Ventu Park Road|Wyoming|32275|Electronics
230|Johnson|James|Woodson Rd.|Utah|66846|Computers
55|Monroe|Ulysses|N Kentwood|Minnesota|51219|Electronics
121|Wilson|Ronald|Bowles Avenue|Ohio|25687|Security
117|Pierce|Rutherford|E Fowler Avenue|Vermont|66787|Security
158|Carter|William|South Roosevelt Drive|Tennessee|54194|Electronics
195|Fillmore|Lyndon|Steele Lane|Illinois|97754|Furniture
109|Harrison|Franklin|Cabrillo Highway|Connecticut|98506|Security
238|Madison|Ulysses|Lindbergh Blvd|Montana|43544|Security
39|Ford|Abraham|San Simeon|New Hampshire|35401|Freight
169|Eisenhower|Thomas|S Rustle St|Missouri|27439|Freight
3|Johnson|Ronald|Westside Freeway|Pennsylvania|38802|Furniture
121|Kennedy|Andrew|Fontaine Road|New Hampshire|47071|Electronics
210|Roosevelt|Calvin|Steele Lane|California|55808|Computers
157|Hayes|Theodore|Monroe Street|Pennsylvania|84081|Travel
76|Coolidge|Woodrow|W. Russell St.|Indiana|68263|Electronics
115|Roosevelt|Franklin|Westside Freeway|New York|31115|Freight
175|Taylor|Richard|Calle Real|Michigan|92476|Travel
241|Monroe|Bill|Camelback Rd|Washington|60749|Computers
205|Harrison|Richard|East 1st Street|Vermont|23096|Travel
64|Ford|Calvin|Fairview Avenue|Maine|87387|Travel
125|Eisenhower|Andrew|Santa Ana Freeway|Kansas|23928|Computers
180|Kennedy|John|Hutchinson Rd|Arkansas|81948|Computers
14|Madison|Calvin|Timberlane Drive|Texas|30860|Security
45|Cleveland|William|Fairview Avenue|Connecticut|67956|Electronics
134|McKinley|Herbert|North Atherton Street|North Carolina|71233|Freight
12|Washington|Ronald|Hutchinson Rd|Idaho|78803|Travel
35|Eisenhower|Chester|Apalachee Parkway|Pennsylvania|86511|Travel
49|Van Buren|Warren|Lindbergh Blvd|Oregon|44872|Computers
20|Reagan|Calvin|North Erringer Road|Montana|48834|Furniture
150|Arthur|William|W. Russell St.|Indiana|72748|Furniture
27|Roosevelt|William|Lawrenceville Suwanee|Kentucky|64712|Freight
135|Arthur|Harry|San Simeon|Tennessee|76660|Computers
160|Truman|John|Burnett Road|Texas|60777|Security
10|Johnson|Andrew|Corona Del Mar|Rhode Island|58218|Computers
126|Harrison|Franklin|Tanger Blvd|Wisconsin|91519|Furniture
90|Coolidge|Thomas|N Kentwood|Utah|26355|Travel
251|Wilson|Harry|Castillo Drive|Minnesota|86290|Security
83|Grant|Grover|Richmond Hill|Connecticut|83169|Furniture
67|Coolidge|Chester|Burnett Road|Indiana|51369|Furniture
1|McKinley|George|Monroe Street|Delaware|39634|Travel
254|Fillmore|Benjamin|El Camino Real|Pennsylvania|40343|Travel
214|Cleveland|Calvin|French Camp Turnpike Road|Kansas|56808|Furniture
234|Adams|Jimmy|Grandview Drive|Massachusetts|58051|Freight
128|Arthur|Calvin|Apalachee Parkway|Illinois|55468|Security
137|McKinley|Rutherford|East Main Street|Iowa|47621|Security
184|Quincy|Rutherford|San Simeon|Louisiana|77815|Furniture
169|Madison|Rutherford|Jean de la Fontaine|Nebraska|82242|Freight
87|Roosevelt|William|Carpinteria South|New York|85641|Travel
225|Washington|Richard|South Highway|New Mexico|65520|Travel
57|Monroe|Martin|South Highway|North Carolina|73542|Security
209|Van Buren|James|Richmond Hill|New Mexico|58742|Computers
200|Kennedy|Theodore|Corona Del Mar|Missouri|63335|Furniture
191|Madison|George|Erringer Road|West Virginia|33486|Travel
133|Reagan|Zachary|Lake Tahoe Blvd.|Oregon|49016|Furniture
219|Roosevelt|Martin|Camelback Rd|Connecticut|27093|Electronics
29|Roosevelt|Richard|North Atherton Street|Maine|24905|Travel
132|Fillmore|Millard|Santa Monica Road|Wisconsin|34308|Travel
156|Coolidge|Thomas|Lindbergh Blvd|Mississippi|86253|Furniture
194|Monroe|James|Cabrillo Highway|New Jersey|34275|Security
151|Arthur|Gerald|Pacific Hwy S|Michigan|86153|Security
114|Cleveland|Abraham|Fairview Avenue|Kansas|50252|Electronics
30|Arthur|Warren|Camelback Rd|Hawaii|31585|Electronics
156|Clinton|Bill|Richmond Hill|Florida|92061|Travel
39|Fillmore|Dwight|Carpinteria Avenue|Idaho|82784|Furniture
241|Johnson|Jimmy|San Simeon|New Mexico|82972|Security
24|Johnson|Warren|Harbor Dr|New Jersey|72620|Security
155|Eisenhower|Grover|Richmond Hill|Mississippi|34373|Electronics
246|Buchanan|Thomas|San Ysidro Blvd|Arkansas|86347|Computers
40|Harrison|George|North Ventu Park Road|Washington|25629|Freight
68|Lincoln|Dwight|Woodson Rd.|Nebraska|81426|Security
220|Pierce|Herbert|Calle Real|Rhode Island|72790|Furniture
103|Coolidge|Bill|East 1st Street|Colorado|70904|Computers
105|Nixon|Andrew|Corona Del Mar|North Dakota|95068|Computers
50|Johnson|George|N Kentwood|Georgia|53339|Freight
180|Eisenhower|Theodore|Corona Del Mar|New Hampshire|67775|Security
50|Reagan|Ronald|San Marcos|Ohio|58399|Furniture
92|Quincy|Theodore|East 1st Street|Alaska|84680|Freight
82|Washington|Franklin|Santa Monica Road|Minnesota|23543|Security
104|Madison|Harry|Monroe Street|West Virginia|63755|Furniture
155|Coolidge|James|Santa Monica Road|Hawaii|67964|Travel
205|Wilson|George|Corona Del Mar|Arizona|73601|Electronics
238|Buchanan|Richard|S Rustle St|Arizona|40808|Electronics
111|Jefferson|Jimmy|Carpinteria North|Iowa|66753|Computers
10|Harding|Herbert|Bayshore Freeway|Connecticut|69360|Computers
134|Clinton|George|Carpinteria North|South Dakota|36195|Electronics
113|McKinley|Jimmy|Cabrillo Highway|New Mexico|97226|Freight
192|Pierce|Chester|Padre Boulevard|Maine|96025|Furniture
101|Lincoln|Woodrow|Monroe Street|Louisiana|82451|Computers
173|Polk|Lyndon|El Camino Real|New Jersey|93018|Furniture
149|Nixon|Warren|Lindbergh Blvd|Maryland|87756|Furniture
187|Pierce|Harry|N Kentwood|Wisconsin|82841|Furniture
10|Madison|Franklin|Santa Rosa North|Rhode Island|39592|Security
123|Roosevelt|Thomas|Bowles Avenue|Pennsylvania|52791|Electronics
86|Hayes|Warren|S Rustle St|Alaska|48416|Freight
173|Harding|Chester|North Preisker Lane|Indiana|64559|Electronics
65|Taft|Theodore|San Ysidro Blvd|Louisiana|58359|Electronics
87|Hayes|Franklin|San Ysidro Blvd|California|25449|Freight
192|Polk|Theodore|East Calle Primera|North Carolina|85843|Electronics
16|Polk|Thomas|Cleveland Ave.|North Carolina|52647|Computers
126|Harrison|Thomas|Moreno Drive|Kentucky|80416|Travel
152|Cleveland|Theodore|Santa Rosa North|Illinois|94694|Furniture
249|Grant|Bill|East Calle Primera|North Dakota|52585|Electronics
247|Harrison|Martin|North Preisker Lane|New Hampshire|61715|Electronics
219|Garfield|Benjamin|North Atherton Street|Tennessee|29483|Freight
129|McKinley|George|Cleveland Ave.|Kansas|91216|Electronics
34|Grant|Chester|East Main Street|Nebraska|53097|Freight
80|Buchanan|John|South Highway|Delaware|28216|Furniture
141|Johnson|Ulysses|S Rustle St|New Hampshire|27546|Electronics
67|Garfield|Dwight|Carpinteria North|Hawaii|60582|Computers
216|Monroe|James|S Rustle St|Tennessee|84789|Travel
220|Jackson|Herbert|Woodson Rd.|Arizona|66963|Computers
77|Grant|Harry|North Ventu Park Road|North Dakota|72273|Computers
1|Pierce|Andrew|W. Russell St.|Kentucky|94721|Furniture
152|Van Buren|Dwight|Monroe Street|Iowa|93534|Electronics
35|Hoover|Herbert|Fairview Avenue|Oregon|55264|Freight
241|Nixon|Jimmy|Cleveland Ave.|New Mexico|75872|Security
60|Tyler|Franklin|W. Russell St.|South Carolina|82123|Computers
46|Garfield|Rutherford|East Fry Blvd.|Ohio|31349|Computers
170|Roosevelt|Thomas|Newbury Road|Nevada|42800|Electronics
178|Hoover|Gerald|East Fry Blvd.|Washington|96154|Freight
19|Hayes|Harry|Redwood Highway|North Carolina|29025|Furniture
246|Ford|Chester|South Highway|Tennessee|67841|Furniture
62|Taft|Thomas|Steele Lane|Florida|49279|Electronics
209|Quincy|Woodrow|Santa Rosa South|Vermont|65582|Electronics
61|Polk|Ulysses|French Camp Turnpike Road|Illinois|67780|Electronics
179|Van Buren|Rutherford|Newbury Road|Ohio|37600|Travel
23|Garfield|Herbert|North Erringer Road|Tennessee|86878|Computers
166|Pierce|Grover|South Highway|Minnesota|54624|Freight
181|Washington|Herbert|Hutchinson Rd|California|65822|Freight
23|Hayes|William|Newbury Road|Indiana|25130|Electronics
31|Nixon|William|N Harrison St|Vermont|97282|Freight
63|Arthur|Rutherford|Hutchinson Rd|Delaware|25192|Freight
110|Madison|Chester|Cabrillo Highway|Rhode Island|90316|Security
97|Madison|Warren|Santa Ana Freeway|Rhode Island|41705|Furniture
185|Arthur|Jimmy|Via Real|Kentucky|57005|Freight
31|Nixon|Bill|Bailard Avenue|Michigan|71600|Travel
147|Jefferson|Franklin|Carpinteria South|Pennsylvania|47432|Electronics
168|Polk|Calvin|North Ventu Park Road|New Jersey|34651|Electronics
179|Fillmore|Jimmy|Calle Real|Missouri|57457|Freight
204|Adams|Calvin|South Highway|California|65922|Travel
39|Kennedy|Richard|Erringer Road|Maine|23573|Travel
170|Arthur|Gerald|North Preisker Lane|New Jersey|88983|Furniture
75|Ford|George|Padre Boulevard|Florida|30125|Electronics
40|Grant|George|Bayshore Freeway|Connecticut|55208|Furniture
255|Coolidge|Grover|Bailard Avenue|North Carolina|75288|Electronics
63|Hoover|Lyndon|East 1st Street|North Dakota|78568|Freight
124|Taft|William|East Fry Blvd.|West Virginia|51096|Travel
208|Adams|James|W. Russell St.|New York|55186|Security
129|Ford|Thomas|Katella Avenue|New Mexico|22945|Computers
196|Truman|Abraham|Jones Road|Mississippi|65636|Travel
253|McKinley|Harry|East Calle Primera|Nebraska|78622|Electronics
4|McKinley|James|Erringer Road|Maine|82373|Electronics
130|Roosevelt|Gerald|El Camino Real|Florida|56025|Security
41|Jefferson|Martin|Santa Monica Road|Nevada|44691|Freight
145|Harrison|Franklin|Harbor Dr|Alabama|96865|Travel
193|Coolidge|George|Harry S Truman Blvd|West Virginia|41439|Computers
68|Van Buren|Herbert|Tanger Blvd|Missouri|99566|Travel
100|Garfield|Millard|Via Real|Nebraska|57433|Security
155|Johnson|Rutherford|Santa Rosa South|Colorado|25047|Electronics
38|Hayes|Harry|Camelback Rd|Oregon|37523|Computers
117|Grant|Woodrow|Woodson Rd.|Florida|32927|Security
127|Jefferson|Millard|S Rustle St|Mississippi|91394|Electronics
39|Polk|Thomas|Tanger Blvd|Arkansas|92945|Security
53|Hayes|Jimmy|Santa Rosa North|Ohio|69247|Furniture
148|Fillmore|Martin|Tanger Blvd|Oregon|71533|Computers
133|Reagan|James|Santa Monica Road|Minnesota|50024|Travel
199|Roosevelt|George|Katella Avenue|Connecticut|69724|Security
150|Johnson|Calvin|Apalachee Parkway|Montana|99873|Electronics
53|Fillmore|Richard|North Preisker Lane|Vermont|97204|Security
249|Johnson|Martin|Corona Del Mar|Idaho|23593|Freight
250|Adams|Ulysses|East 1st Street|Nevada|30376|Travel
254|Taylor|Richard|Burnett Road|Utah|45718|Furniture
253|Coolidge|Gerald|Fairview Avenue|West Virginia|86618|Electronics
171|Grant|Herbert|Pacific Hwy S|Nevada|98641|Furniture
250|Monroe|Warren|Tanger Blvd|Pennsylvania|74556|Travel
50|Adams|Warren|Bowles Avenue|New Mexico|95926|Furniture
93|McKinley|George|Fairview Avenue|Washington|73525|Computers
4|Buchanan|Rutherford|S Rustle St|Oregon|52016|Computers
49|Van Buren|Martin|Katella Avenue|Delaware|87609|Electronics
243|Carter|Thomas|Jones Road|Massachusetts|86035|Electronics
76|Reagan|Millard|North Ventu Park Road|Arkansas|44239|Security
42|Tyler|Benjamin|Castillo Drive|Connecticut|72772|Electronics
165|Madison|Woodrow|Santa Rosa South|Louisiana|30825|Freight
71|Johnson|Chester|E Fowler Avenue|Hawaii|89449|Travel
158|Hayes|Harry|Bailard Avenue|Arizona|29820|Electronics
148|Reagan|Andrew|East Calle Primera|New Hampshire|96879|Security
41|Eisenhower|Harry|San Ysidro Blvd|Utah|22930|Security
203|Fillmore|Martin|South Highway|Rhode Island|54802|Freight
180|Roosevelt|Lyndon|South Highway|Idaho|55581|Furniture
232|Roosevelt|Benjamin|Lindbergh Blvd|Georgia|25777|Furniture
15|Madison|James|North Preisker Lane|Alaska|38741|Furniture
33|Taft|Herbert|San Ysidro Blvd|Oregon|70003|Travel
154|Hoover|Ronald|Erringer Road|New York|94664|Travel
64|Washington|George|French Camp Turnpike Road|Idaho|85954|Computers
189|Buchanan|Gerald|Moreno Drive|Maryland|81428|Freight
162|Roosevelt|Calvin|Apalachee Parkway|New Jersey|53159|Freight
207|Truman|James|Lawrenceville Suwanee|Ohio|36315|Electronics
45|Reagan|Rutherford|Tully Road East|Alabama|61692|Furniture
94|Arthur|Herbert|Westside Freeway|Montana|70990|Freight
225|Adams|Herbert|Castillo Drive|Kansas|23384|Security
91|Adams|Herbert|Corona Del Mar|North Dakota|87830|Security
24|Wilson|Jimmy|Greenwood Road|Maine|41491|Travel
121|Monroe|Richard|Padre Boulevard|Wyoming|33163|Computers
160|Hayes|Benjamin|San Diego Freeway|Georgia|23927|Computers
224|Fillmore|Franklin|Lake Tahoe Blvd.|Louisiana|26357|Computers
223|Clinton|Herbert|Redwood Highway|Arkansas|49210|Travel
82|Grant|Chester|Santa Rosa North|Ohio|25808|Travel
79|Wilson|Bill|East Fry Blvd.|Maryland|33954|Security
210|Fillmore|Calvin|Lawrenceville Suwanee|Louisiana|91754|Travel
187|Johnson|Franklin|North Preisker Lane|Delaware|72649|Travel
56|Johnson|Grover|Fairview Avenue|Louisiana|36993|Computers
59|Coolidge|Benjamin|El Camino Real|New Jersey|69194|Travel
250|Harrison|Benjamin|Fontaine Road|New Mexico|31111|Electronics
217|Harding|Harry|Timberlane Drive|Missouri|77283|Security
52|Kennedy|Millard|Santa Ana Freeway|Delaware|30716|Electronics
242|Truman|Martin|Moreno Drive|Minnesota|68886|Freight
245|Johnson|Ulysses|Bowles Avenue|New Hampshire|58386|Freight
56|McKinley|Dwight|Jones Road|South Carolina|78989|Travel
191|Monroe|Rutherford|N Harrison St|New Hampshire|24487|Freight
155|Pierce|Warren|East Main Street|Nebraska|41482|Computers
100|Jefferson|Lyndon|Cerrillos Road|Nevada|45303|Security
172|Madison|Woodrow|Burnett Road|Maine|57904|Security
112|Harrison|Martin|San Ysidro Blvd|Nevada|24683|Freight
37|Adams|Grover|San Diego Freeway|South Dakota|27632|Electronics
218|Hayes|Zachary|San Ysidro Blvd|Georgia|45850|Travel
32|Johnson|Harry|East Calle Primera|Georgia|59492|Furniture
193|Johnson|Harry|East Fry Blvd.|Arkansas|53944|Electronics
171|Harrison|Ulysses|Milpas Street|Washington|80695|Computers
220|Truman|Bill|Santa Monica Road|Michigan|64976|Computers
108|Wilson|Abraham|El Camino Real|North Dakota|70514|Electronics
103|Clinton|Bill|El Camino Real|South Carolina|57598|Computers
112|Grant|James|Tully Road East|Nevada|95521|Travel
116|Nixon|Woodrow|Pacific Hwy S|Louisiana|34928|Computers
103|Fillmore|Chester|Newbury Road|New York|54854|Furniture
214|Polk|Ronald|East Fry Blvd.|West Virginia|40056|Security
52|Coolidge|Rutherford|Santa Rosa South|Montana|35749|Security
39|Buchanan|Calvin|W. Russell St.|Vermont|48734|Travel
255|Reagan|Ulysses|East Main Street|Oregon|86917|Computers
236|Polk|Theodore|San Simeon|Connecticut|23737|Electronics
220|Monroe|George|N Kentwood|Alaska|40366|Security
90|Arthur|Warren|W. Russell St.|New Hampshire|64246|Computers
131|Coolidge|James|East Calle Primera|Virginia|73079|Freight
226|Johnson|Calvin|Hutchinson Rd|Pennsylvania|64777|Security
176|Washington|Bill|Newbury Road|Pennsylvania|65326|Furniture
109|Monroe|Martin|Grandview Drive|Iowa|22708|Electronics
106|Grant|Dwight|Carpinteria North|Hawaii|48934|Computers
245|Harrison|Bill|Woodson Rd.|Louisiana|34763|Furniture
153|Roosevelt|Chester|North Preisker Lane|Mississippi|57643|Travel
30|Harding|Andrew|Bailard Avenue|Kansas|23056|Computers
69|Hoover|Thomas|Carpinteria North|Delaware|37246|Travel
111|Grant|Benjamin|Carpinteria North|Louisiana|63848|Freight
49|Buchanan|William|W. Russell St.|South Dakota|45529|Computers
239|Eisenhower|Richard|Timberlane Drive|Washington|56992|Freight
157|Jefferson|Rutherford|Moreno Drive|New Hampshire|26569|Freight
253|Quincy|Ronald|Woodson Rd.|Ohio|71160|Electronics
134|Carter|Grover|Tully Road East|Kansas|92006|Electronics
183|Cleveland|Dwight|Calle Real|Massachusetts|73840|Computers
248|Taft|Warren|Fontaine Road|Oklahoma|27682|Freight
121|Truman|Theodore|San Luis Obispo North|Ohio|94526|Security
231|Johnson|Bill|Jean de la Fontaine|North Dakota|78878|Computers
135|Hoover|James|Corona Del Mar|Kansas|74680|Furniture
67|Roosevelt|Theodore|Corona Del Mar|Tennessee|28901|Security
152|Fillmore|Ulysses|East 1st Street|Wisconsin|39869|Computers
31|Hayes|Calvin|Moreno Drive|Colorado|85162|Security
130|Harrison|Abraham|N Kentwood|Nebraska|32507|Travel
72|Truman|Lyndon|Westside Freeway|Arizona|79641|Security
37|Johnson|Ulysses|Katella Avenue|Nebraska|56741|Computers
217|Arthur|Warren|Richmond Hill|New York|43547|Electronics
121|Quincy|Warren|Hutchinson Rd|Oregon|76840|Travel
21|Cleveland|Grover|Harbor Dr|Minnesota|51059|Furniture
178|Jefferson|John|N Kentwood|Delaware|43688|Travel
73|Adams|Calvin|Cabrillo Highway|Indiana|22298|Security
66|Johnson|Andrew|Monroe Street|New Hampshire|78402|Furniture
89|Polk|Martin|East Calle Primera|North Dakota|42058|Electronics
238|Clinton|Harry|South Roosevelt Drive|Delaware|73238|Freight
36|Arthur|Andrew|San Luis Obispo North|West Virginia|88390|Furniture
31|Eisenhower|Richard|Woodson Rd.|Hawaii|44510|Travel
41|Roosevelt|Martin|Santa Monica Road|Alabama|85025|Security
9|Nixon|Bill|Carpinteria North|Texas|45767|Computers
132|Eisenhower|Thomas|Lawrenceville Suwanee|Maryland|49310|Computers
198|Ford|Ronald|Harry S Truman Blvd|Wyoming|33031|Electronics
176|Coolidge|Thomas|Camelback Rd|Oregon|80695|Computers
200|Tyler|George|Greenwood Road|Nebraska|89814|Computers
112|Grant|Gerald|North Broadway Street|Virginia|90414|Computers
